drug_id,fda,fda_altname,anxiety,anxiety_altname
,Tolcapone,"RO-407592,RO-40-7592,Tasmar,Tolcapone",,
,Norfloxacin,"Baccidal,Chibroxin,MK-366,Norfloxacin,Noroxin,Quinabic,Utinor",,
,Aspirin,"Equi-PRIN,Salicylic Acid Acetate,Micropirin EC,NSC-406186,Durlaza,Vazalore,Acetosalic acid,NU-SEALS CARDIO 75,Enprin,ANGETTES 75,NU-SEALS 300,Aspirin Dl-Lysine,Ecotrin,POSTMI 300,Alka Rapid,Aspro CLR,Paynocil,Danamep,Acetylsalicylic acid,NSC-27223,PLATET 300,Aspirin,POSTMI 75,Disprin CV,Disprin Direct,Platet,Bayer Extra Strength,8-Hour Bayer,NU-SEALS 600,NU-SEALS 75,Anadin All Night,Acetylsalic acid,Acetylsalicylate Lysine,MAX Strgh Aspro CLR,Gencardia,Levius,Measurin,Lysine Acetylsalicylate,BAY1019036",,
,Spectinomycin,"Actinospectacin,CHX-3101,Espectinomicina,M-141,Spectam,Spectinomycin,Spectinomycin Dihydrochloride,Spectinomycin Dihydrochloride Pentahydrate,Spectinomycin HCl,Spectinomycin Sulfate,Stanilo,Trobicin,U-18409AE",,
,Nialamide,Nialamide,,
,DSSTOX_CID_2640,"Azactam,Aztreonam,Cayston,NSC-646279,SO-26776,SQ 26776,SQ-26776",,
,Valdecoxib,"Bextra,SC-65872,Valdecoxib",,
,Ciclopirox,"Ciclopirox,Ciclopirox Ethanolamine,Ciclopirox ethanolamine salt (1:1),Ciclopirox Olamine,HOE-296,HOE-296B,Loprox,Mycoster,NSC-336278,Penlac",,
,Hydrochlorothiazide,"APO-Hydro,Esidrex,Esidrix,Hctz,Hydrochlorothiazide,Hydrochlorothiazide Intensol,Hydro-D,Hydrodiuril,Hydrosaluric,Microzide,NSC-53477,Oretic,SU-5879,Zide",,
,Haloprogin,"Haloprogin,Halotex,M-1028,Mycanden",,
,Methazolamide,"L-584601,Methazolamide,Neptazane,VVP808,VVP-808",,
,Thonzonium,"NC-1264,Thonzide,Thonzonium Bromide,Tonzonium Bromide",,
,Parecoxib,"Dynastat,Parecoxib,Parecoxib NA,Parecoxib Sodium,Parecoxib Sodium Salt,SC-69124,SC-69124A",,
,Tazobactam,"CL-298741,CL-307579,Tazobactam,Tazobactam Sodium,Tazobactam Sodium Salt,Tazocillin,YTR-830H",,
,Sulfathiazole,"Sulfathiazole,Sulfathiazole Sodium,Sulfathiazole (Triple Sulfa),Sulphathiazole,Thiazamide",,
,Emedastine,"AL-3432A,Emadine,Emedastine,Emedastine Difumarate",,
,Gemcitabine,"Gemcitabine,Gemcitabine HCl,Gemcitabine Hydrochloride,Gemzar,Infugem,LY188011,LY-188011,LY-188011 HYDROCHLORIDE,LY188011 HYDROCHLORIDE,NSC-613327",,
,Nevirapine,"BIRG-0587,Nevirapine,Nevirapine Anhydrous,NSC-641530,Viramune,Viramune XR",,
,Clotrimazole,"Mycelex-7 combination pack,Trimysten,Candiden,Actavall,GYNE-LOTRIMIN 3,TRIVAGIZOLE 3,Canesten,Privacom,Canesten Internal,Canesten AF,MYCELEX-7,NSC-257473,Masnoderm,Clotrimazole,Mycelex,Fungederm,Gyne-Lotrimin Combination PACK,Mycil GOLD,Canesten Crm Combi,Abtrim,BAY-5097,Gynix,GNF-PF-3499,Gyne-lotrimin 3 combination pack,Canesten VC,Gyne-Lotrimin,Mycelex-G",,
,Chenodiol,"CHENDOL 125,CHENDOL 250,Chenic acid,Chenix,Chenocedon,Chenodeoxycholate,Chenodeoxycholic acid,Chenodiol,Chenofalk,Combidol,Lithofalk,NSC-657949,Xenbilox",,
,Folic acid,"B03BB01,BIO Science,Folacin,Folate Sodium,Folic acid,Folicare,Folicet,Folsan,Folvite,Lexpec,Natur FLOW,NSC-3073,Preconceive,Pteroylglutamic acid,Roche,Vitamin BC,Vitamin M",,
,Nitrazepam,"Mogadon,N05CD02,Nitrados,Nitrazepam,NSC-58775,Remnos,RO-45360,RO-4-5360,RO-53059,RO-5-3059,Somnite,Unisomnia",,
,Dexfenfluramine,"Adifax,Dexfenfluramine,Dexfenfluramine HCl,Dexfenfluramine Hydrochloride,Redux,S-5614 HCL",,
,Naproxen,"RHEUFLEX 500,Nycopren,Feminax Ultra,Valrox,Laraflex,Condrotec,Synflex,RHEUFLEX 250,Rimoxyn,ARTHROSIN 250,ARTHROSIN 250 EC,Napratec Op,Naprosyn,TIMPRON 250 EC,Naprelan,Naproxen,Anaprox,EC-Naprosyn,Aleve,Pranoxen Continus,Equiproxen,Naproxen Sodium Salt,Naproxen Sodium,Kenosyn,Naproxen(+),BAY-117031,ARTHROSIN 500,ARTHROSIN 500 EC,Vimovo,BAYH6689,BAY117031,Prosaid,RS-3540,Anaprox DS,TIMPRON 500 EC,Grenoxal,Timpron,RS-3650,Stirlescent,NAPROSYN 375,Naprosyn EC",,
,Methotrexate,"Folex PFS,TCMDC-123832,Ebetrex,Emtexate PF,Otrexup,Xatmep,Amethopterin,TCMDC-125488,L-GLUTAMIC ACID\, N-[4-[[(2\,4-DIAMINO-6-PTERIDINYL)METHYL]METHYLAMINO]BENZOYL]- [CAS],TCMDC-125858,Mexate,Methotrexate,CL-14377,R-9985,EMT-25299,Rheumatrex,Trexall,Methotrexate LPF,Methylaminopterin,Rasuvo,Maxtrex,Methotrexate Sodium Preservative FREE,Methotrexate Preservative FREE,Otrexup PFS,R-Methotrexate,Mexate-Aq Preserved,NSC-740,Folex,Abitrexate,Zlatal,Mexate-AQ,Methotrexate Sodium,Metoject,Emtexate High-POT",,
,Tiagabine,"ABBOTT-70569-1,A-70569-1,Abbott-70569 free base,Abbott-70569 hydrochloride,Tiagabine,NO-05-0328,ABBOTT-705691,ABBOTT-70569.1,NNC-050328 FREE BASE,Gabitril,ABBOTT-70569,Tiagabine HCl,ABT-569,NNC-05-0328,ABBOTT-70569.HCL,NO-050328 FREE BASE,NNC-050328,Abbott-705691 free base,ABT-569 FREE BASE,NO-050328,Tiagabine Hydrochloride",,
,Ribavirin,"Copegus,NSC-163039,Rebetol,Ribapak,Ribasphere,Ribavarin,Ribavirin,Ribofluranosyl Carboxamide,SCH 18908,SCH-18908,Tribavirin,Viramid,Virazid,Virazole",,
,Capecitabine,"Capecitabine,RO-091978000,RO-09-1978000,Xeloda",,
,Dapsone,"Aczone,Dapsone,Diaminodiphenylsulfone,Diaphenylsulfone,J04BA02,NSC-6091,NSC-6091D",,
,Gabapentin,"CI-945,DM-1796,Gabapentin,Gabapentin Hydrochloride,GOE-3450,Gralise,Neurontin",,
,Cefadroxil,"Baxan,BL-S578,Cefadrops,Cefadroxil,Cefadroxil/Cefadroxil Hemihydrate,Cefadroxil Monohydrate,Cefatabs,Duricef,MJF-11567-3,Ultracef",,
,Orlistat,"Alli,Beacita,Lipstatin,Orlipastat,Orlistat,RO-180647002,RO-180647-002,Tetrahydrolipstatin,Xenical",,
,Acipimox,"Acipimox,Olbetam",,
,Phthalylsulfathiazole,"Phthalylsulfathiazole,Phthalylsulfhathiazole,Phthalylsulphathiazole,Sulfaphtalylthiazol,Thalazole",,
,Aminocaproic acid,"177 JD,177 J.D,177 J.D.,177-JD,Amicar,Aminocaproic,Aminocaproic acid,Aminocaproic Acid Hydrochloride,CL-10304,CY-116,Eaca,Epsikapron,.Epsilon.-Aminocaproic acid,Epsilon-Aminocaproic acid,NSC-26154,NSC-400230",,
,Moxifloxacin,"AL-15469A,Avelox,Avelox I.V.,BAY-128039,BAY-12-8039,Minims,Moxeza,Moxifloxacin,Moxifloxacin HCl,Moxifloxacin Hydrochloride,Moxifloxacin Hydrochloride Hydrate,Moxivig,Vigamox",,
,Acemetacin,"Acemetacin,Emflex",,
,Lisinopril,"Acemin,Carace,Lisinopril,Lisinopril Dihydrate,Lisinopril Hydrate,Lisopress,MK-521,Prinivil,Qbrelis,Zestril",,
,Ampicillin,"Penbritin-S,Vidopen,NSC-528986,PRINCIPEN '250',Amcill,Ampicillin,Pfizerpen-A,Polycillin,AY-6108,Aminobenzylpenicillin,Ampicillin Sodium Salt,Polycillin-N,Amfipen,Omnipen,PRINCIPEN '500',Ampicillin/Ampicillin Monohydrate,Totacillin,P-50,Principen,Britcin,Ampicillin/Ampicillin Trihydrate,Ampilar,PRINCIPEN '125',AMP Equine,Polycillin-PRB,Ampicillin Trihydrate,Probampacin,Ampicillin Sodium,WY 5103,Totacillin-N,Penbritin,Principen-N,Anhydrous Ampicillin,BRL-1341,Omnipen-N,Alpha-Aminobenzylpenicillin",,
,Benztropine,"Benzatropine,Benzatropine Mesilate,Benztropine,Benztropine Mesilate,Benztropine Mesylate,Benztropine Methanesulfonate,Cogentin,NK-02,NSC-169913",,
,Sertindole,"LU 23-174,LU-23-174,Serlect,Sertindole",,
,Diacerein,"AC-201,Diacerein,Diacerin,Fisiodar,M01AX21,M-01AX21,Rhein Diacetate,SF-277",,
,Idarubicin,"Idamycin,Idamycin PFS,Idarubicin,Idarubicin HCl,Idarubicin Hydrochloride PFS,IMI-30,NSC-256439,Zavedos",,
,Pyridostigmine,"Kalymin,Mestinon,MESTINON 10,Mestinon RET,NSC-679759,Pyridostigmine,Pyridostigmine Bromide,Pyridostigmine Iodide,Regonal,Regonol,RO-1-5130",,
,Atorvastatin,"Atorvastatin,Atorvastatin Calcium,Atorvastatin Calcium Hydrate,Atorvastatin Calcium Salt Anhydrous,Atorvastatin Calcium Salt Trihydrate,Atorvastatin Calcium Trihydrate,Cardyl,CI-981,Lipitor,Prevencor,Sortis,Tahor,Zarator",,
,Aripiprazole,"Abilify,Abilify Maintena,Abilify Maintena Kit,Abilify Mycite Kit,Aripiprazole,OPC-14597,OPC-31",,
,Dactinomycin,"Actinomycin D,Cosmegen,Cosmegen Lyovac,Dactinomycin,GNF-PF-1977,GNF-PF-2290,NCI-C04682,NSC-3053",,
,Phenindione,"Dindevan,Hedulin,NSC-41693,Phenindione,Phenylindanedione",,
,Cefoxitin,"Cefoxitin,Cefoxitin Sodium,Cefoxitin Sodium Salt,Cenomycin,J01DC01,Mefoxin,Mefoxitin",,
,Neostigmine,"Bloxiverz,Neostigmine,Neostigmine Bromide,Neostigmine Methylsulfate,Neostigmine Methyl Sulfate,Neostigmine Metilsulfate,NSC-93753,Prostigmine,Robinul-Neostig",,
,Sitagliptin,"Janumet XR,Januvia,LEZ763,LEZ-763,MK0431,MK-0431,ONO-5435,Sitagliptin,Sitagliptin Monophosphate Anhydrous,Sitagliptin Monophosphate Monohydrate,Sitagliptin Phosphate,Sitagliptin Phosphate Hydrate,Sitagliptin Phosphate Monohydrate",,
,Vecuronium,"Musculax,Norcuron,ORG NC 45,ORG-NC 45,Vecuronium,Vecuronium Bromide",,
,Cefaclor,"Bacticlor MR,Ceclor,Ceclor CD,Cefaclor,Cefaclor Hydrate,Cefaclor Monohydrate,COMPOUND 99638,COMPOUND-99638,Distaclor,Distaclor MR,J01DC04,Keftid,Raniclor",,
,Cromolyn,"Aerocrom,Vividrin,Opticrom,EYE-CROM,Resiston ONE,Cromoglicate Sodium,Lomusol,R03BC01,NSC-109500,Cromogen E-Breathe,Opticrom AQ,INTAL 5,Catacrom,Cromogen,Steri-Neb Cromogen,Vivicrom,Cromosol Optha,VIZ-ON,Disodium Cromoglycate,Cromolyn,Rynacrom,Rynacrom CO,Intal,HAY-CROM,Cromosol,Cromolyn Disodium Salt,Allercrom,Cusilyn,Cromolyn Sodium,Nalcrom,Lomudal,Nasalcrom,Cromolux,FPL-670,Resiston Treatment PACK,Rynacrom Allergy,Glycavent,Sodium Cromoglicate,Cromoptic,Crolom,Cromoglycic acid,Murine,Aspire,Clariteyes,Brol-EZE,Gastrocrom,Dominion Pharma Hayfever,Gppe Syncroner INHA,Cromoglicic acid",,
,Sulfacetamide,"Sulfair Forte,SULF-15,Isopto Cetamide,Sulphacetamide,Bleph,NSC-63871,FML-S,Sulfacetamide,Novacet,Albucid,Sulfacetamide Sodium,Cetamide,Sulfacetamide Sodium Salt,Sodium Sulamyd,BLEPH-30,OCUSULF-30,Sulfacetamide (Triple Sulfa),SULFACEL-15,Ocusulf,Klaron,BLEPH-10,Sulfacel,Sulster,SULTEN-10,SULFAIR-15,Sulfacetamide Sodic Hydrate,Sulfacetamide Sodium Salt Monohydrate,SULFAIR 10,NSC-625324,Sodium Sulfacetamide,Ocusol,OCUSULF-10,SULF-10",,
,Mizolastine,"Mizolastine,Mizolastine (Mizollen),Mizollen",,
,Diphenylpyraline,"Diphenylpyraline,Diphenylpyraline HCl,Diphenylpyraline Hydrochloride,Diphenylpyraline Teoclate,Hispril,Histryl,Histryl PAED,Lergoban",,
,Dexbrompheniramine,"Dexbrompheniramine,Dexbrompheniramine Fumarate,Dexbrompheniramine Maleate,Disomer",,
,Busulfan,"Busilvex,Busulfan,Busulfex,Myelosan,Myleran,NCI-C01592,NSC-750,Sulphabutin",,
,Procaine,"Novocain,NSC-169497,Pasconeural N,Procaine,Procaine HCl,Procaine Hydrochloride,SP01A,SP-01A",,
,Imiquimod,"Aldara,Imiquimod,R-837,S-26308,Zyclara",,
,Chlorotrianisene,"Chlorotrianisene,Chlortrianisestrol,NSC-10108,Tace,Trianisestrol",,
,Levocetirizine,"Cetirizine (R)-FORM,Cetirizine (R)-Form Dihydrochloride,Levocetirizine,Levocetirizine Dihydrochloride,Levocetirizine Hydrochloride,UCB-28556,Xusal,Xyzal,XYZAL ALLERGY 24HR,Xyzall",,
,Clopidogrel,"Clopidogrel,Clopidogrel Bisulfate,Clopidogrel Hydrogen Sulfate,Clopidogrel Sulfate,Grepid,Iscover,Plavix,R 130964,R-130964,SR 25990,SR-25990,SR-25990C",,
,Cyproheptadine,"Cyproheptadine,Cyproheptadine HCl,Cyproheptadine Hydrochloride,Cyproheptadine Hydrochloride Hydrate,Cyproheptadine Hydrocloride,NSC-169911,Periactin",,
,Sulfamethoxazole,"Acetylsulfamethoxazole,Gantanol,Gantanol-DS,NSC-147832,RO-42130,RO-4-2130,Sinomin,STX-608,Sulfamethoxazole,Sulfamethoxazole Sodium,Sulphamethoxazole,Suphamethoxazole,Urobak",,
,Benzydamine,"AF-864,Benzydamine,Benzydamine HCl,Benzydamine Hydrochloride,Difflam,Difflam-P,Lozamine,Tantum",,
,Meglumine,"Meglumine,N-Methylglucamine,NSC-52907,NSC-7391",,
,Loracarbef,"Lorabid,Loracarbef,Loracarbef Hydrate,Loracarbef Monohydrate,LY-163892,LY-163892 MONOHYDRATE,LY163892 MONOHYDRATE",,
,Amlexanox,"AA-673,Amlexanox,Aphthasol,CHX-3673",,
,Ziprasidone,"CP-88059,CP-880591,CP-88059-1,CP-8805927,CP-88059-27,Geodon,Zeldox,Ziprasidone,Ziprasidone HCl,Ziprasidone Hydrochloride,Ziprasidone Hydrochloride Hydrate,Ziprasidone Hydrochloride Monohydrate,Ziprasidone Mesylate",,
,Topiramate,"Epitomax,MCN-4853,Qudexy XR,RWJ-17021,RWJ-17021-000,Topamax,Topamax Sprinkle,Topiramate,Trokendi XR,USL255,USL-255",,
,Methenamine,"Methenamine Mandelate,INS-239,Hexamine Hippurate,Hexamine Mandelate,E-239,Uritone,Urotropin,Hexamethylenamine Mandelate,Hexamine,NSC-26346,Methenamine,Mandelamine,Hexamethylenetetramine,Urex,Hexamethylenamine,E239,Hexydaline,Methenamine Hippurate,NSC-403347,INS NO.239,Hiprex",,
,Mafenide,"4-(Aminomethyl)benzenesulfonamide acetate,4-Homosulfanilamide,D06BA03,Mafenide,Mafenide Acetate,Mafenide HCl,Mafenide Hydrochloride,NSC-34632,Sulfamylon",,
,Levothyroxine,"Levothyroid,T4 (LIOTRIX),Thyro-TABS,Novothyrox,Synthroid,Euthyrox,Levo-T,Thyroxine Sodium Salt,Evotrox,Levothyroxine,Levothyroxine Sodium,Levoxyl,NSC-36397,Thyroxine (L),Unithroid,Levoxine,Eltroxin,Tirosint,NSC-259940,L-Thyroxine Henning,Levothyroxine Sodium Hydrate,Soloxine,Thyrol L,Tirosint-SOL,Levothroid,Thyroxine,Levolet,T4",,
,Desoximetasone,"A-41304,A-41-304,Desoximetasone,HOE-304,J83.644C,R-2113,Stiedex,Stiedex LP,Stiedex LPN,Topicort,Topicort LP",,
,Sulfamethizole,"Methazol,Microsul,Proklar,Sulfamethizole,Sulphamethizole,Sulphamethylthiadiazole,Tetracid,Thiosulfil,Urolucosil",,
,Sulfadiazine,"Sulfadiazine (Trisulfapyrimidines),Adiazine,Sulfapyrimidine,Sulfolex,Silvadene,Sulfadiazine Silver,Sulfadiazine\, Silver,Sildaflo,Diazyl,Sulphadiazine,Sulfadiazine Silver Salt,Flamazine,SSD AF,NSC-35600,Coco-Diazine,Sulfadiazine,Sulfadiazine Sodium,Thermazene,Sulfacombin,Flammacerium,Ssd,Silver Sulfadiazine",,
,Alprazolam,"Alprazolam,Alprazolam CIV,Niravam,U 31\,889,U-31889,Xanax,Xanax XR",,
,Disulfiram,"Antabuse,Disulfiram,Esperal,NSC-25953,ORA102,ORA-102,Tetraethylthiuram Disulfide",,
,Cytarabine,"2(1H)-Pyrimidinone\, 4-amino-1-????-d-arabinofuranosyl- [cas],Alexan,ALEXAN 100,Arabinosyl Cytosine,Ara-Cytidine,Cytarabine,Cytarabine HCl,Cytidine,Cytosar,Cytosar-U,Cytosine Arabinoside HCl,Depocyt,Depocyte,NSC-287459,NSC-63878,Tarabine PFS,U-19920,U-19920A",,
,Indinavir,"Crixivan,Indinavir,Indinavir Monohydrate,Indinavir Sulfate,Indinavir Sulfate Ethanolate,Indinavir Sulphate,Indinavir System Suitability,L-735524,MK-639",,
,Exemestane,"Aromasin,Exemestane,FCE-24304,PNU-155971",,
,Ticrynafen,"Selacryn,SK&F-62698,Ticrynafen,Tienilic acid",,
,Levodopa,"Bendopa,Brocadopa,Dopar,Inbrija,Larodopa,Levodopa,NSC-118381,V-1512",,
,Methylprednisolone,"Depmedalone,Depo-Medrol,Depo-Medrone,J3.872E,Medrol,Medrol Acetate,Medrone,Methylprednisolone,Methylprednisolone\, 6-alpha,Methylprednisolone Acetate,Methyl Prednisolone Acetate,Neo-Medrone,NSC-19987,U-67590A",,
,Dacarbazine,"Dacarbazine,Dic,Dtic,Dtic-DOME,NCI C04717,NSC-45388",,
,Floxuridine,"5-Fluoro-2-deoxyuridine,Floxuridine,Fluoruridine Deoxyribose,Fudr,F.U.D.R.,NSC-27640",,
,Nalidixic acid,"Mictral,Nalidixane,Nalidixate Sodium,Nalidixic acid,Nalidixic Acid Sodium Salt,Nalix,Neggram,NEG GRAM,Negram,NSC-82174,Uriben,Uroneg,WIN-18320,WIN-183203,Wintomylon",,
,Ethinyl Estradiol,"Enovid,Enovid-E,Estinyl,Ethinylestradiol,Ethinyl Estradiol,Ethinyloestradiol,Ethynylestradiol,Etinestryl,Feminone,Follicoral,Ginestrene,Lynoral,Norinyl,NSC-10973,Ovulen,OVULEN-21,OVULEN-28",,
,Cefmetazole,"Cefmetazole,Cefmetazole Sodium,Cefmetazole Sodium Salt,U-72791,U-72791A,Zefazone",,
,Methyldopa,"Aldomet,Alpha-Methyldopa,BAYER-1440L,Dopamet,J9.247I,Lederdopa,Medomet,METALPHA 250,METALPHA 500,Methyldopa,Methyldopa Hydrate,Methyldopa (L\,-),Methyldopa (Levorotatory),Methyldopa Sesquihydrate,MK-351,NSC-169916",,
,Dorzolamide,"Cosopt PF,Dorzant,Dorzolamide,Dorzolamide HCl,Dorzolamide Hydrochloride,MK-507,Trusopt",,
,Iloperidone,"Fanapt,HP-873,Iloperidone,Iloperidone(Fanapt)",,
,Levetiracetam,"AGB-101,Desitrend,Elepsia XR,Keppra,Keppra XR,Levetiracetam,Levetiracetam In Sodium Chloride,Matever,N03AX14,Spritam,UCB-22059,UCB-L059",,
,Galantamine,"Acumor XL,Consion XL,Elmino XL,Galantamine,Galantamine Hydrobromide,Galanthamine,Galanthamine Hydrobromide,Galsya XL,Galzemic XL,Gatalin XL,Gazylan XL,Lotprosin XL,Luventa XL,NSC-100058,Razadyne,Razadyne ER,Reminyl,Reminyl XL,Zeebral XL",,
,Clarithromycin,"ABBOTT-56268,TE-031,Zeclar,Clarithromycin Extended Release,Clarithromycin,Biaxin,Febzin XL,Clarithromycin Identity,Clarosip,Klaricid I.V.,A-56268,Biaxin XL,Klaricid Adult,Klaricid XL,KLARICID 500,Biaxin Xl PAC,Klaricid,Klaricid PAED,Clarie XL,Xetinin XL,Prevpac,Mycifor XL",,
,Tolfenamic acid,"Clotam,Clotam Rapid,Tolfenamic acid",,
,Tropisetron,"ICS-205-930,Navoban,Tropisetron,Tropisetron HCl",,
,Sumatriptan,"Alsuma,GR-43175C,Imigran,IMIGRAN 50,Imigran Radis,Imigran Recovery,Imigran Subject,Imitrex,Imitrex Statdose,Migraitan,Migraleve Ultra,N02CC01,Onzetra Xsail,Sumatriptan,Sumatriptan Succinate,Sumavel Dosepro,Tosymra,Zecuity,Zembrace Symtouch",,
,Ropivacaine,"Narapin,Naropin,Ropivacaine,Ropivacaine HCl,Ropivacaine Hydrochloride Hydrate,Ropivacaine Hydrochloride Monohydrate",,
,Demecarium,"Demecarium,Demecarium Bromide,Demekastigmine Bromide,Humorsol,Tosmilen",,
,Ritonavir,"A-84538,ABBOTT-84538,ABT-538,Norvir,NSC-693184,Ritonavir,Ritonavir Related Compounds Mixture",,
,Metronidazole,"RP-8823,Protostat,Zyomet,Flagyl I.V.,Flagyl ER,Rozex,METRIC 21,Metronidazole HCl,FLAGYL-400,Metrolyl,Satric,Rosiced,NSC-69587,FLAGYL 375,Drazifon,Metromidol,Metrogel,Noritate,Elyzol,Metrotop,NSC-50364,Norzol,Zadstat,Metronidazole,Flagyl,Metrosa,SC-32642,Flagyl Compak,Metrolotion,Neutratop,Metrogel-Vaginal,Flagyl I.V. Rtu In Plastic Container,Flagyl-S,Anabact,BAY-5360,BAYER-5360,Vaginyl,Metro IV,Acea,Zidoval,Metrocream,Nuvessa,Metronidazole Benzoate,Vandazole",,
,Anastrozole,"Anastrozole,Arimidex,ICI-D1033,Nastrosa,ZD-1033",,
,Chlorhexidine,"Gppe SOLN,Exidine,Tarodent,Chlorhexidine HCl,Chp,Hibiscrub,Hibidil,Sterexidine,Gppe WSH,KDM-055,Chlohexidine Gluconate,Chlorhexidine Diacetate,Chlorhexidine Gluconate,E-Z Scrub,Phiso-MED,Bacticlens,Uriflex-C,Cyteal,Prevacare R,Chloraprep,Pharmaseal Scrub CARE,Periochip,DISPRAY 1,Peridex,Hibiclens,Tisept,Steri-STAT,CX 1,Chlorhexidine Phosphanilate,Savlon HC,Cepton,Hibicet,Primahex,BMY-30120,Chlorhexidine,Cida-STAT,Corsodyl Daily Defence,Sterets Tisept,Corsodyl,Cetriclens FTE,Brian CARE,Periogard,Eczmol,Avagard,Bioscrub,Hibistat,Hibispray,Gppe Tinct,Microderm,Savloclens,WP-973,Curasept,Savlon JNR,AY-5312,DISPRAY 2,Prevacare,Cetriclens,Corsodyl Daily,Rotersept,Dyna-HEX,Sterets Uniscrub,CHG Scrub,Clinivex,Chlorhex Glucon,Acriflex,Hibi,Hibitane PLUS,Perio-KIN,Sterets Unisept,Hydrex,AEROCIDE 1,Chlorhex HCl,Savlodil",,
,Dirithromycin,"Dirithromycin,Dynabac,LY 237216,LY-237216,Nortron",,
,Acetohexamide,"33006,Acetohexamide,Dimelor,Dymelor",,
,Triamcinolone Acetonide,"Remotic,Flutex,Pevaryl T.C.,Tri-Nasal,Aureocort,Nasacort allergy 24 hour,Allernaze,Remiderm,Adcortyl,KENALOG-10,Oralone,Aristocort A,Audicort,Kenalog,Azmacort,KENALOG-40,Kenacourt,Triamcinolone Acetonide In Absorbase,NSC-21916,Triatex,Nasacort,Triacort,KENALOG-80,Zilretta,Gppe Ear Dps CAP,Trymex,Vetalog,Kenalog In Orabase,Nasacort HFA,Aristocort,Kenalog-H,Triamcinolone Acetonide,Trivaris,Tri-Adcortyl,Oracort,Kenacort,Triacet,Triderm,Nystadermal,Gppe Ear OINT,Triesence,Nasacort AQ,Silderm,Aristogel,Adcortyl In Orabase",,
,Tolterodine,"Blerone XL,Detrol,Detrol LA,Detrusitol,Detrusitol XL,Efflosomyl XL,Inconex XL,KABI-2234,Mariosea XL,Neditol XL,PNU-200583E,Preblacon XL,Santizor XL,Tolterodine,Tolterodine L-Tartrate,Tolterodine Tartrate",,
,Elvitegravir,"Elvitegravir,Elvitegravir (gs-9137\, jtk-303),GS-9137,JTK-303,Vitekta",,
,Etoricoxib,"Arcoxia,Etoricoxib,L-791456,MK-0663",,
,Pefloxacin,"1589 RB,41 982 Rp,EU-5306,Pefloxacin,Pefloxacine,Pefloxacine Mesylate,Pefloxacin Mesylate",,
,Amoxicillin,"Aquacil,Vetremox,Amoxymed,Flemoxin Solutab,Amoxicillin Sodium,AMIX 125,Amoxicillin,Polymox,Larotid,Dispermox,Amoxi-Inject,Sumox,Amoxicilline,Trimox,Amopen,AMIX 500,Amoxycillin,NSC-277174,Robamox,Amoxicillin Trihydrate,Amoxil Fiztab,Wymox,Amoxi-TABS,Respillin,ZOXYCIL 250,Amrit,AMIX 250,BRL-2333,Amoxicillin Pediatric,Dedoxil,BRL-2333AB-B,Amoram,Amoxil SF,Amoxicillin Hydrate,AMOXIDENT 500,Amoxil,ZOXYCIL 500,Amoxicillin Crystalline,Biomox,AMOXIDENT 250,Moxatag,Galenamox,Utimox",,
,Sulfadoxine,"Fanasil,Fanzil,J21.373J,RO-44393,RO-4-4393,Sulfadoxine,Sulforthamidine,Sulphormethoxine,WR-4073",,
,Topotecan,"Hycamptin,Hycamtin,Nogitecan Hydrochloride,NSC-609699,Potactasol,SKF-104864,SK&F-S-104864A,SK-S-104864-A,Topotecan,Topotecan HCl",,
,Clofazimine,"Clofazimine,G-30320,Lamprene,NSC-141046",,
,Aminolevulinic acid,"5 Ala HCL,5-Aminolevulinic acid HCL,Ameluz,Aminolevulinic acid,Aminolevulinic Acid HCl,.Delta.-Aminolevulinic acid,Gleolan,Levulan,NPC-07,NSC-18509",,
,Thiamylal,"Surital,Thiamylal,Thiamylal Sodium",,
,Ifenprodil,"Ifenprodil,Ifenprodil Tartrate,RC 61-91,RC-61-91,Vadilex",,
,Ofloxacin,"DL-8280,Exocin,Floxin,Floxin OTIC,HOE-280,J01MA01,Ocuflox,Ofloxacin,Tarivid,TARIVID 400,Tarivid I.V.,Visiren",,
,Atropine,"Atroject,Atropen,Atrophate,Atropine,Atropine (Autoinjector),Atropine Sulfate,Atropine Sulfate Anhydrous,Atropine Sulfate Ansyr Plastic Syringe,Atropine Sulfate Hydrate,Atropine Sulfate Monohydrate,Atropine Sulphate,BRD-A27290375,Isopto Atropine,NSC-26671",,
,Proxyphylline,"Proxyphylline,Thean",,
,Procyclidine,"Arpicolin,Kemadrin,Muscinil,Procyclidine,Procyclidine HCl,Procyclidine Hydrochloride",,
,Suprofen,"Profenal,R-25061,Suprofen,Sutoprofen",,
,Zopiclone,"RP-27267,ZILEZE 3.75,ZILEZE 7.5,Zimovane,Zimovane LS,Zopiclone",,
,Tulobuterol,"Brelomax,Respacal,Tulobuterol,Tulobuterol HCl",,
,Cyclothiazide,"35483,Anhydron,Cyclothiazide,Fluidil",,
,Proglumide,"Milid,Nulsa,Proglumide,W-5219",,
,Promethazine,"Remsed,Sominex,Promethazine,Q-Mazine,Promethazine Plain,Promethazine Hydrochloride Plain,Promethegan,RP-3277,Sarantihist,ZIPAN-50,NSC-30321,Promethazine HCl,Mymethazine Fortis,Phensedyl,Phenergan,Phenergan Nightime,Promethazine Hydrochloride,Promethacon,Prometh Fortis,ZIPAN-25,Phenhalal,Prometh Plain",,
